,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
0,41,1,1102,1,1,2,5,2,0,94,3,2,7,4,2,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,1
1,49,2,279,2,8,1,5,3,1,61,2,2,6,2,1,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,0
2,37,1,1373,2,2,2,1,4,1,92,2,1,8,3,2,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,1
3,33,2,1392,2,3,4,5,4,0,56,3,1,6,3,1,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,0
4,27,1,591,2,2,1,4,1,1,40,3,1,8,2,1,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,0
5,32,2,1005,2,2,2,5,4,1,79,3,1,8,4,2,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,0
6,59,1,1324,2,3,3,4,3,0,81,4,1,8,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,0
7,30,1,1358,2,24,1,5,4,1,67,3,1,8,3,0,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,0
8,38,2,216,2,23,3,5,4,1,44,2,3,3,3,2,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,0
9,36,1,1299,2,27,3,4,3,1,94,3,2,2,3,1,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,0
10,35,1,809,2,16,3,4,1,1,84,4,1,8,2,1,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,0
11,29,1,153,2,15,2,5,4,0,49,2,2,8,3,2,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,0
12,31,1,670,2,26,1,5,1,1,31,3,1,6,3,0,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,0
13,34,1,1346,2,19,2,4,2,1,93,3,1,8,4,0,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,0
14,28,1,103,2,24,3,5,3,1,50,2,1,8,3,2,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,1
15,29,1,1389,2,21,4,5,2,0,51,4,3,3,1,0,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,0
16,32,1,334,2,5,2,5,1,1,80,4,1,6,2,0,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,0
17,22,0,1123,2,16,2,4,4,1,96,4,1,8,4,0,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,0
18,53,1,1219,1,2,4,5,1,0,78,2,4,1,4,1,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,0
19,38,1,371,2,2,3,5,4,1,45,3,1,6,4,2,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,0
20,24,0,673,2,11,2,1,1,0,96,4,2,3,3,0,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,0
21,36,1,1218,1,9,4,5,3,1,82,2,1,5,1,2,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,1
22,34,1,419,2,7,4,5,1,0,53,3,3,0,2,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,0
23,21,1,391,2,15,2,5,3,1,96,3,1,6,4,2,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,0
24,34,1,699,2,6,1,4,2,1,83,3,1,6,1,2,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,1
25,53,1,1282,2,5,3,1,3,0,58,3,5,1,3,0,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,0
26,32,2,1125,2,16,1,5,2,0,72,1,1,6,1,2,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,1
27,42,1,691,1,8,4,3,3,1,48,3,2,7,2,1,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0
28,44,1,477,2,7,4,4,1,0,42,2,3,2,4,1,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,0
29,46,1,705,1,2,4,3,2,0,83,3,5,1,1,2,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,0
30,33,1,924,2,2,3,4,3,1,78,3,1,8,4,2,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,0
31,44,1,1459,2,10,4,1,4,1,41,3,2,2,4,1,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,0
32,30,1,125,2,9,2,4,4,1,83,2,1,8,3,2,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,0
33,39,1,895,1,5,3,2,4,1,56,3,2,5,4,1,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,1
34,24,1,813,2,1,3,4,2,1,61,3,1,6,4,1,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,1
35,43,1,1273,2,2,2,4,4,0,72,4,1,6,3,0,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,0
36,50,1,869,1,3,2,3,1,1,86,2,1,5,3,1,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,1
37,35,1,890,1,2,3,3,4,0,97,3,1,5,4,1,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,0
38,36,1,852,2,5,4,5,2,0,82,2,1,6,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,0
39,33,2,1141,1,1,3,5,3,0,42,4,2,7,1,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,0
40,35,1,464,2,4,2,1,3,1,75,3,1,8,4,0,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,0
41,27,1,1240,2,2,4,5,4,0,33,3,1,8,1,0,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,0
42,26,1,1357,2,25,3,5,1,1,48,1,1,8,3,2,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,1
43,27,2,994,1,8,3,5,4,1,37,3,3,7,3,2,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,0
